,precision,recall,accuracy,alerts to recover (atr),alerts recovered,suprious alerts,projects with atr,avg atr per proj,name
0,0.0743,0.3534,0.0654,116.0000,41.0000,511.0000,20.0000,5.8000,fold 0
0,0.0914,0.7812,0.0891,64.0000,50.0000,497.0000,18.0000,3.5556,fold 1
0,0.1488,0.9697,0.1481,33.0000,32.0000,183.0000,16.0000,2.0625,fold 2
0,0.1568,0.3494,0.1213,166.0000,58.0000,312.0000,18.0000,9.2222,fold 3
0,0.1545,0.8769,0.1512,65.0000,57.0000,312.0000,19.0000,3.4211,fold 4
mean,0.1251,0.6661,0.1150,88.8000,47.6000,363.0000,18.2000,4.8123,mean
